Timestamp,CPU (%),Memory (%),Network (bytes_sent),Network (bytes_recv)
2023-09-05 13:56:22.494562,0.0,75.5,1293444096,4107062272
2023-09-05 13:56:22.697760,61.8,75.5,1293444096,4107062272
2023-09-05 13:56:22.899012,61.9,75.5,1293444096,4107062272
2023-09-05 13:56:23.103825,51.2,75.4,1293444096,4107062272
2023-09-05 13:56:23.309094,65.8,75.5,1293445120,4107063296
2023-09-05 13:56:23.512616,55.6,75.5,1293445120,4107063296
2023-09-05 13:56:23.715682,54.0,75.6,1293445120,4107063296
2023-09-05 13:56:23.920927,59.0,75.7,1293445120,4107063296
2023-09-05 13:56:24.126185,49.5,75.7,1293446144,4107064320
2023-09-05 13:56:24.331610,55.7,75.6,1293446144,4107064320
